"Test-Projekt ID","Test-Projekt Name","Test-Projekt Owner","Test-Projekt Owner ID",Email,"Secondary Email","Created By","Created by ID","Modified By","Modified by ID","Created Time","Modified Time","Last Activity Time","Email Opt Out",Tag,Projektidee,Themenkategorie,Status,Ort,Fortschritt,Projektname,"CustomModule3 Id",Vorname
zcrm_70390000001719196,Hernandez,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Bildung ist der Schlüssel für nachhaltige Entwicklung und Armutsbekämpfung. Ein großes Problem in Kamerun ist der Zugang zu höherer Bildung auf Grund von Studiengebühren, die viele Studenten nicht aus der eigenen Tasche bezahlen können. Die begrenzten Möglichkeiten ihrer Familien führen zusätzlich zu hohem Druck andere Wege zur Finanzierung zu finden, wenn jemand studieren gehen möchte. Da der formale Arbeitsmarkt ihnen nicht offen steht, halten sich viele Studierende mit informellen und unsicheren Jobs über Wasser oder fallen auf Prostitution und Diebstahl zurück. Diese Aktivitäten erfordern viel Zeit und Energie und sind meistens nicht gewinnbringend. Viele junge Menschen vernachlässigen daher ihr Studium oder brechen es ganz ab.

Gleichzeitig gibt es viele Unternehmen, die kurzfristig Aushilfen (bsp. im Krankheitsfall) benötigen könnten. Allerdings gibt es keine formalisierten Prozesse, diese zu finden oder anzustellen. Ein weiteres Beispiel sind Privatleute, die für geringe Zeiten Unterstützung im Haushalt benötigen. 

Mit der Gründung meiner gemeinnützigen Unternehmung verfolge ich nun das Ziel, diese Lücke im System zu überbrücken. Ich möchte gerne als Vermittler zwischen Studierenden, die eine sichere und zugleich lukrative Tätigkeiten neben dem Studium suchen und Unternehmen, die flexible und zugleich zuverlässige sowie leistungsfähige Kurzzeit-Arbeitskräfte suchen, fungieren. 

Mit dem nicht gewinnorientierten Unternehmen Service Échange (frz. für Austausch-Dienst) möchte ich gezielte und tiefgehende Personalberatung und -vermittlung anbieten. Das Angebot richtet sich dabei nicht nur an den Privatsektor und private Haushalte, sondern auch an staatliche Einrichtungen, da die zu vermittelnden Studenten auf Grund ihrer erweiterten Bildung bereits als kompetente Fachkräfte eingesetzt werden können. 

Für die Service-Suchenden bietet das Unternehmen die folgenden Vorteile: 

- Sich in guter Ausbildung befindende und leistungsfähige Fachkräfte, die flexibel auf",,"New Record - PLZ : Invalid data",,,,70390000001619195,"Sylvia  "
zcrm_70390000001719197,Smith,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Förderung der Entwicklungszusammenarbeit in Bereich Gesundheit und Bildung
In Afrika.",,"New Record - Handynummer : Invalid data",,,,70390000001619194,"Lurlene  "
zcrm_70390000001719198,Oconnor,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Eine App für mehr Partizipation an Politik und lokaler Umgebung. Die App unterstützt junge Menschen durch einen Gamification-Ansatz, mehr an Politik teilzunehmen. Einerseits gibt es Reminder über Wahltermine und mehr Transparenz über politische Parteien, demokratische Prozesse. Andererseits aber auch die Möglichkeit, für seine Interessen einzutreten.",,"New Record - PLZ : Invalid data",,,,70390000001619193,"Ruthie  "
zcrm_70390000001719199,Ayala,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Das Projekt verfolgt das Ziel, kommunale Integrationsarbeit durch innovative Partizipationsformate mit Geflüchteten und Migranten bedarfsgerecht zu gestalten. Ich biete Kommunen Begleitungsformate an, bei denen sie ihre anstehenden Integrationsarbeiten partizipativ mit der Zielgruppe gestalten

Abhängig von vorliegenden Fragestellungen begleiten ich die Kommune durch kurzfristige Interventionen oder eine mehrmonatige Kooperation. Dabei setzen sich die Kommunalvertreter in interaktiven Workshops mit den Bedürfnissen der Zielgruppe auseinander. Sie diskutieren, gemeinsam mit den Migranten und Geflüchteten, aktuelle Herausforderungen und arbeiten an innovativen und zukunftsgerichteten Lösungen. Migranten oder Geflüchteten werden somit bereits in einem frühen Projektstatus in die Erarbeitung der Lösung eingebunden, um die Passgenauigkeit der Lösung zu erhöhen. 

Methodisch fußen die Formate auf dem Design Thinking Ansatz. Design Thinking basiert auf der Idee, in iterativen und interaktiven Prozessen, innovative Lösungen zu entwickeln. Der Mensch, als Nutzer eines Produktes, steht im Mittelpunkt.",,"New Record - PLZ : Invalid data",,,,70390000001619192,"Delbert  "
zcrm_70390000001719200,Lopez,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Wir entwickeln AUIO – die Video-Lernplattform für Menschen im Autismusspektrum und deren Umfeld. Es ist unsere Mission, die Gesellschaft mit niedrigschwelligen Videos über Autismus aufzuklären, durch praxisorientierte Hilfestellungen und Erklärungen das gegenseitige Verständnis zu verbessern und so langfristig Talente freizuschalten.",,"New Record - Record added",Berlin,,,70390000001619191,"Earline  "
zcrm_70390000001719201,Mccullough,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Der Aufbau eines ökologischen Wirtschafts- und Bildungszentrums mit Demonstrationsfarm auf der praxisnah gezeigt wird, wie Agroforstwirtschaft trotz Trockenheit gute Erträge erzielen kann und durch Weiterverarbeitung Wertschöpfung geschaffen wird.
Das Projekt ist so angelegt, dass Kleinbauern das Modell der ökologischen und an die lokalen Bedingungen angepassten Agroforstwirtschaft auf ihrem eigenen Land übernehmen können. Es wurden und werden dafür verschiedene Blueprints angefertigt, die direkt oder wenn gewünscht nochmals an die spezielle Situation der Familie angepasst, übernommen werden können. Im Idealfall breitet sich das Modell in der Region immer weiter aus und erreicht über mehrere Kanäle (Bildungszentrum, Mund zu Mund Propaganda, Internet, Netzwerk der lokalen Organisation) immer mehr interessierte Menschen. Wenn in dieser sehr trockenen Region mit den Agroforst-Modellen gute Erträge erzielt werden können, ist das ein aussagekräftiges Beispiel, das auch Gemeinschaften in anderen Regionen inspirieren kann.",,"New Record - Record added",Kaufbeuren,,,70390000001619190,"Sophie  "
zcrm_70390000001719202,Sellers,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Unser Projekt ist ein Open-Source-IT-Projekt mit dem Arbeitstitel ""Drop App 2.0"" zur Unterstützung von Organisationen, die Hilfsgüter sammeln, lagern oder ausgeben.

Drop App an sich ist eine Web-Anwendung. Sie besteht aus 
- einer Art Kassensystem, um den Betrieb eines “social Free-Shops"" zur Ausgabe von Gütern wie Kleidung, Hygieneartikel oder Nahrungsmittel zu ermöglichen. Bedürftige können in einem solchen Shop selbst auswählen, was sie brauchen, anstatt etwas zugewiesen zu bekommen, das evtl. nicht richtig passt oder am Ende gar nicht benötigt wird. Hierzu registriert die Anwendung die Bedürftigen, verteilt digitale “Wertmarken"" und verwaltet alle Transaktionen innerhalb des Shops.
- einem Lagerverwaltungssystem. 
Lagerhäuser, die von Freiwilligen betrieben werden, können leicht im Chaos enden. 
Drop App stellt sicher, dass der Betreiber eines Lagerhauses weiß, wo und was gelagert wird und was für die Zukunft benötigt wird.",,"New Record - Record added",Berlin,,,70390000001619189,"Jesse  "
zcrm_70390000001719203,Allen,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Mit ShareCubes - Verleihautomaten möchten wir im Sinne der Sharing Economy Menschen ermöglichen, Gebrauchsgegenstände direkt vor Ort in urbanen Gegenden auszuleihen. Starten möchten wir mit einem Outdoor-Spielzeugverleih-Modell, bei welchem in Parks, Badeseen, Freibädern und ähnlichen Standorten verschiedene Spielgeräte gegen Pfand ausgeliehen werden können.",,"New Record - Haupt_Zielgruppe : Invalid data",Heilbronn,"Vor 5. Call",,70390000001619188,"Casandra  "
zcrm_70390000001719204,Mack,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Eine Onlineplattform (Videoblog, Blogazine) für Stuttgart und BaWü zu schaffen, die an konkreten Beispielen zeigt, wieso Dinge sind wie sind, wer sie entscheidet, wieso dieser jemand sie so entscheidet und was Bürger unternehmen können, um ihre Wünsche/Ziele voranzutreiben, umzusetzen. Eine Art Videowiki für ziviles Engagement/Aktivismus.",,"New Record - Record added",Stuttgart,,,70390000001619187,"Nedra  "
zcrm_70390000001719205,Vaughan,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,https://youtu.be/63UHrqnZ_xE,,"New Record - Record added",Berlin,,,70390000001619186,"Zana  "
zcrm_70390000001719206,Joseph,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"expACT ist eine interaktive medienpädagogische Software, die Kindern auf spielerische Art und Weise einen im Kontext relevanten Zugang zu Computer, Technik und Programmierung bietet. Dabei stellt expACT eine Entwicklungsumgebung zum Programmieren und ein 3D-Zeichentool zugleich dar. In der jetztigen Entwicklungsphase richtet sich expACT an Schüler_innen und Schüler der 6. und 7. Klasse und soll mit der Realisation von mehr Lehreinheiten verschiedener Jahrgangstufen und Fachbereichen kostenfrei als Webversion zur Verfügung stehen. Schließlich soll expACT ein Web-Tool sein, das Lehrer_innen in ihrem Unterricht einsetzten können, um Digital- und Medienkompetenzen zu vermitteln, während sie ihre regulären Unterrichtseinheiten mittels eines digitalen Tools abhalten.",,"New Record - Haupt_Zielgruppe : Invalid data",München,,,70390000001619185,"Carolina  "
zcrm_70390000001719207,Huang,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Non-Profit Ventures (NVP) is a tech bootcamp and B2B crowdfunding network for revolutionary Dutch FFI entrepreneurs.",,"New Record - Record added",Amsterdam,,,70390000001619184,"Marica  "
zcrm_70390000001719208,Hicks,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Demokratische Schulen bieten Kindern ein Umfeld, in denen sie völlig selbstbestimmt und in größtmöglicher persönlicher Freiheit lernen können. Die Kinder entscheiden ob, wann, wie und mit wem sie etwas lernen möchten und haben somit natürlicherweise eine riesige Freude am Lernen. Besonders bei kleinen Kindern ist die natürliche Herangehensweise das Freie Spiel, ältere setzen häufig größere Projekte um. Dadurch, dass die Kinder alle Zeit der Welt bekommen, wirklich Ihre Stärken und Leidenschaften kennen zu lernen, wachsen sie zu selbstsicheren Persönlichkeiten heran, die sich die Freude am Lernen und an neuen Herausforderungen behalten. Zudem haben alle Schüler in fast allen Angelegenheiten der Schule Mitbestimmungsrecht, das heißt, beispielsweise die Einführung neuer Regeln werden diskutiert oder die Abschaffung alter Regeln angestoßen und am Ende gemeinsam darüber abgestimmt. Da sowohl Lehrer als auch Schüler je eine Stimme haben, ist die Schule Schülerregiert. Auch Konflikte werden gemeinschaftlich gelöst. Der Gedanke dahinter ist gelebte Demokratie und die Erfahrung, dass jeder in seinem Umfeld etwas bewegen kann. Zudem streben wir Partnerschaften mit lokalen Betrieben an, die bei Bedarf spezielles Fachwissen vermitteln oder Praktikumsplätze anbieten. Die Schule soll so nah wie möglich am ""echten"" Leben sein - Entscheidungen selbst treffen und die Konsequenzen selbst tragen. Die Schule ist geplant von den Klassenstufen 1 - 10. Die rund 500 Demokratischen Schulen weltweit machen mit dieser Art der Bildung beste Erfahrungen und auch die aktuelle Entwicklungs- und Gehirnforschung findet in den sich immer wieder wandelnden Strukturen Berücksichtigung. Die Nachfrage seitens der Eltern ist bereits jetzt sehr groß. Wir planen die Schuleröffnung im September 2019.
Aktueller Stand: Gemeinnütziger Trägerverein gegründet, pädagogisches Konzept erarbeitet, bezüglich Gebäude laufen Gespräche. Derzeit suchen wir vor allem Sponsoren (da es in Baden-Württemberg in den ersten 3 J",,"New Record - Handynummer : Invalid data",Meßstetten,,,70390000001619183,"Jaime  "
zcrm_70390000001719209,Lawson,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Natürliche Medizin, Nahrungsergänzungsmittel aus eigenem Anbau, Adaptogene, Salutogenese",,"New Record - Record added","Icod de los Vinos",,,70390000001619182,"Trudie  "
zcrm_70390000001719210,Jennings,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Bhutan hat 5fach erhöhte Inzidenz an Magenkrebs. Magenkrebs ist die zweithäufigste Todesursache von allen Krebserkrankungen weltweit. Als Ursache für die erhöhte Magenkrebsrate in Bhutan wird die hohe Verseuchung mit dem Helicobacter Pylori Keim gesehen.",,"New Record - Record added",München,,,70390000001619181,"Margene  "
zcrm_70390000001719211,Soto,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Eine Bewegung, die den Zusammenhalt der Community durch wöchentliche Aufgaben fördert und die Gewohnheiten nachhaltig ändert. So werden wir Vorbilder für die Werte Achtsamkeit, Demut, Dankbarkeit, Wertschätzung und lernen Verzicht auf Bequemlichkeit und Überfluss.",,"New Record - Record added",Köln,,,70390000001619180,"Kathern  "
zcrm_70390000001719212,Booker,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Ich kaue bereits seit einigen Monaten auf „meiner nächsten Projektidee“ herum. Dabei bin ich vor allem auf das Thema Emotionen gestoßen. Ich habe gelernt, wie hilfreich unsere „Native Language“ in unseren komplexen Leben sein kann. Jedoch habe ich beobachtet, wie wir in Deutschland von früh an sehr sträflich mit unseren Emotionen umgehen. Mein Projektimpuls besteht noch aus mehreren Teilen. Zum einen einer neuen Beziehung von Menschen und ihren Emotionen (Gefühlsschule), andererseits einer Gemeinschaft, in der man diese Emoptionen ausleben kann und Hilfestellungen, um selbst reduzierter und bewusster leben zu können.",,"New Record - Motivation_Projektidee : Invalid data",Berlin,,,70390000001619179,"Junie  "
zcrm_70390000001719213,Ramsey,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"36 Jugendliche (15-20 Jahre) aus Norddeutschland, die Hälfte ""Newcomer"" (seit weniger als 2 Jahren in Deutschland), die andere Hälfte ""Homies"" arbeiten an zwei Vorbereitungs- und fünf Projekttagen an einer Idee (zu den Themen ""Natur"", ""Schule"", ""Menschen""), wie sie ihre Zukunft aktiv und nachhaltig gestalten können. Begleitet durch Teach First Deutschland Fellows, die bei der Umsetzung helfen und gleichzeitig aktiv Sprachunterricht (für alle!) geben, damit die Jugendlichen auch sprachlich ihre Ideen umsetzen und verteidigen können.",,"New Record - Record added",Hamburg,,,70390000001619178,"Izetta  "
zcrm_70390000001719214,Lara,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Greatly reduce CO2 emissions in the growing industry in emerging economies by digitalizing the project development process of Renewable Energy systems in the global south. A technology and big-data driven business model (own hardware sensor is in prototype stadium) reduces lead-times, effort and eventually development cost in the renewable energy industry while contributing to the Sustainable Development Goals (SDG7)",,"New Record - Record added",Berlin,,,70390000001619177,"Brittanie  "
zcrm_70390000001719215,Mosley,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Haustüren öffnen",,"New Record - Record added","Frankfurt am Main",,,70390000001619176,"Karan  "
zcrm_70390000001719216,Osborne,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"United Regulations ist eine Onlineplattform für nachhaltige Unternehmensratings. Die Plattform funktioniert, ähnlich wie die Vergleichswebseiten Swoodoo oder Trivago, nur für Unternehmen.",,"New Record - Record added",München,,,70390000001619175,"Shantelle  "
zcrm_70390000001719217,Huffman,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Biotonnen und Grün Abfälle Recyclen für eine Biogasanlage oder zu Bio Dünger Verarbeiten.",,"New Record - The module name given seems to be invalid",Rieste,,,70390000001619174,"Lida  "
zcrm_70390000001719218,Leonard,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"Ich bin dabei eine Onlinebildungsplattform zu kreieren, auf der Schüler und Studenten (Zielgruppe 17-22) in der Lage sind, sich über Themen, die nicht in der Schule besprochen werden, dennoch von vielen als sehr wichtig angesehen werden, zu informieren.
Dies sind meist Themen aus den Bereichen der Persönlichkeitsentwicklung.

Das Geschäftsmodell sieht ähnlich aus wie bei „TheSimpleClub“. Viele kostenlose Videos auf Youtube, allerdings auch eine monetarisierte Version als Onlineplattform incl. Seminare/Workshop oder ähnlichem.
Auf Youtube sind bereits 1000 Abonennten mit dabei, die Plattform extern von Youtube steht noch nicht.",,"New Record - Record added",Stuttgart,,,70390000001619173,"Kareem  "
zcrm_70390000001719219,House,test,zcrm_70390000001473010,test@projecttogether.org,,"Ivo Degn",zcrm_70390000000096001,"Ivo Degn",zcrm_70390000000096001,"2018-07-09 11:36:29","2018-07-09 11:51:46","2018-07-09 11:51:46",false,,"helpcity - eine lokale Community & Vermittlung für Einsame und Kontakt Interessierte Menschen.",,"New Record - Wie_viel_Haupt_Zielgruppe_willst : Invalid data",Köln,,,70390000001619172,"Tuan  "
